tweet,sentiment
 not my groom!  think i`ll die an old maid! lol,negative
"awww, watching 18 y.o. britney on snl. she`s so young and cute and really funny! i miss this britney",positive
"so bored, i have a headache.",negative
really sick and tired but my body`s resisting rest!,negative
this week has been fun...i hope next week will be even better  NYC in 19 days,positive
aaawww im soooOOooo tired today.. i dont feel good.. i dont wanna go to work wah..  but yeah im goin to work in a few mins. til closing..,negative
 what about me  I miss you too!,negative
Mondays aren`t so bad when they are this sunny  #fb,positive
Still awake can`t fall asleep I`m not one bit sleepy,negative
Omg going to die of swine flu when I go to Melbourne,negative
Brian is teaching me soccer!! Lots of fun,positive
 baby I`m in maryland I`m NOT gonna make it  BUT I will see ur sexy **** next sat in camden VIP....come early n hang!!!!!,positive
So glad its friday! Only 1 week of schol left.  im glad its almost summer though.,positive
 apparently!  Haven`t tried the site tho. Maybe will get better results.,positive
good morning twiggas and twitches  http://bbltwt.com/sciif getcha motivation on,positive
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive
 let me know how it goes I`m praying. Ummmph. I still can`t believe it.,positive
 always good to see you - even in cyberspace,positive
happy happy joy joy    is that good enough for you,positive
Off to Dollarama -- I wish I had a new job,positive
" great thanks hun, i did thr family thing this wknd too! 5 weeks today we hit the USA, cant wait!!",positive
but this little boy still makin me  work during the storm!!!,negative
" Vancouver, so classy.  #canucks",positive
" - No work, but gotta be here till 9pm  Enna kodumai sir idhu...",negative
http://twitpic.com/67k9w - - My besties. If only  was there.,positive
YAY! GO TAYLOR SWIFT!! come to australia again!!!,positive
"Oh, tonight is a good night",positive
is sad yo hear about Ashleycat,negative
Just downloaded twitterberry. My life is now even MORE convenient.,positive
 What kind of help do you need with Machine embroidery?  I may bea able to help,positive
 so my son is not the only one!  that`s really nice to know.  he really is good at being three. and dh will be late today,positive
i just fell going into my house.. not fun,negative
ahh..my stomach hurts,negative
  Thank you so much. That was so nice of you and I was happy to hear you voice  You`ve really started something Good!! xo,positive
 thank you.  we had a blast,positive
"btw , , , and , i ordered some of yer merch yesterday.!  <33333333333",positive
"Scary lightning and thunder  I`m glad it`s over now. Going to sleep, I hope I`m not late to school tomorow again. Haha",positive
Nic has no idea what he`s going to do!  money is all gone!,negative
_berra happy birthday!,positive
not feeling well at all today! ugh cant I just go home.,negative
Bouncing Rush makes me feel nauseous,negative
"well,only one week left of my holidays,sad sad",negative
 whys your cat in pain?,negative
"Immediately regretting my decision to come into the office today, miss my bed",negative
Finally back from the stupid holiday ! Missing the fit bar men though,negative
" awww, a very happy birthday to him",positive
 thx 4 following  r y a band? What kind of genre that y play? Nice to meet all of y,positive
 HAHA all because of chocolate? Always knew your heart was in your stomach. Wait till you try the truffles,positive
"Gary Just tried the Ommegang Chocolate Indulgence: no chocolate, no indulgence, just ... metallic.  Best I can... http://ff.im/-3o7RV",positive
"today was boring, but i did a lot of homework. tomorrow should be amazing, i can`t wait.",positive
_lu I must be getting old and bent: that is the second thing you`ve said in the last couple of days that has not really been a turnon,negative
 congrats!!!  I highly doubt u`ll have buyer`s remorse...u`ve wanted that car for a while.,positive
"Again, I`m stuck in traffic jams ... Somewhat starting to be the same situation every day. That`s sad, really",negative
Ohhhhh what a line,positive
Invisible car helps to boost recycling. Honest   http://twurl.nl/fdgmyo,positive
" nooo, poor cat  he just wants a cuddle... or food, its hard to tell",negative
missing someonee...,negative
" LOL! I liked the log ride reference, but all I think about when I think of that ride is how wet you get",positive
Its 11:11...make a wish!,positive
i wanna vote for Miley Cyrus for the mtv movie awards..but i don`t know where i could  somebody could send me a link? thaank you <3,positive
 You are always amusing.,positive
#com125: we have a quiz! again .. Feliza is bugging us again  its getting very annoying!,negative
 *hugs*  still feeling poorly are you,negative
haiszt.. im here in the office doing nothing but tweet haha! fun!,positive
http://www.bodybuilding.com/fun/richardchan.htm OMFG this dude looks well `ard! He puts me to shame...,negative
"still playing wii fit LOL fun fun fun,, movies tonight ill upload photos i took today right now check next tweet",positive
likes patricia`s dress,positive
"Good morning universe, how are you today",positive
*sigh* I`m going to bed... I just don`t feel right anymore...,negative
Why are CDs in HMV so overpriced? ï¿½12.99 for ? I hate having no money,negative
sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,negative
"Have lots 2do as usual! laundry, thanking God, cleaning house, praising God, cutting the hedge and thanking and praising God some more!",positive
wanted to go to the club...dancing;)..but now iï¿½m tired anyways i have to go to work tomorrow!,negative
is online shopping...fantastic,positive
"Had fried oreos downtown vegas, went to the park with her cousins. BEST DAY EVERRRR.  Happy mommy`s day!",positive
 I love it as well!,positive
Averaged $31 per hour at work today! Gotta love holidays,positive
 i got a messgae but it didnt work cause i have a text saver not like money credit  im sad now. wat do i do?? xoxo,negative
" I want too soo bad, I hate missing GUMBO, but I have a shoot tommorrow that I have to be at for 8:30.  So No GUMBO for me....",negative
" Think wearing bermudas at the cinema wasn`t a good idea after all, but outside was humid like cwazy!",negative
Bad Day. History Test Tommorrow. And I want to go out in the sun and play..,negative
 sorry to disappoint.,negative
haha wow there`s a song called `hit me on twitter` lmao. okay g`night,positive
"  you two are hilaaaaarious, I love it. Vernae where have you been  ?",positive
 welcome home babe!,positive
Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc... I still can`t believe they won`t renew TSCC,negative
 This was funny! I have 7.,positive
SCENE **** AT 4AM IS ALWAYS THE ****,negative
 OMG!!! That`s a nightmare,negative
Tired. Going to take a nap. My finger hurts.  143,negative
"the dog dug a hole in the backyard well iwas sleeping, now im grounded",negative
sometimes i forget my favorite **** stars are real people too.  made orange chicken last night and cut his finger off! sad!,negative
"Apple is also rotten in the center, just my luck",negative
Had a long day at work. Stood home. Now sleeping to have another long day at work tomorrow & happy mothers day to all mothers,positive
95 degrees and a crappy a/c,negative
Dang you internet. . . Its been down all night. . .,negative
 She does especially Pink ones LOL  What beautiful creatures they are!,positive
 haha you would do that =P that`s cute. nobody ever comes to visit me  god **** lake geneva and how far it is from civilizati ...,positive
 dude fail.  i know exactly where this place is too,negative
Im only failing 1 class.... Algebra 2 **** it that **** is hard!,negative
 Thanks for the concern. And checking up on me! Much appreciated,positive
oh godddd I coughed up a little bit of taco,negative
in about 30 minutes Happy Mothers Day to alll the amazing moms out there!!!  going to bed!!,positive
ughh...i dont feel good,negative
Score two days I get more food stamps good cause i want a safeway pizza,positive
". I missed your party...you must forgive me pleassse, i feel bad..",negative
"twitter wont change anything  TWITTER, WHAT THE HECK IS WRONG WITH YOU???!!",negative
in Singapore! its so warm over here! Having a blast already,positive
" actually, I wish I was back in Tahoe.  I miss it there.",negative
On the bus goin 2 work but omg seriously im sooooo tired dont know if i`ll survive the 8 hour shift,negative
Healthy Wishes. I may just start saying that.,positive
had a nice time with juno  http://plurk.com/p/sv71z,positive
 Thanks! I will tell her my friends on Twitter say so.,positive
 my fav CD,positive
 I was hoping I could just drop them into ~/.vim so both Vim and MacVim could share them,positive
Thank god for Starbucks,positive
Just woke from the longest sleep in months-so nice! Now to get some work done so i`m prepped for next wk & free for K coming home tonight,positive
is at cindy babys house......taking in these last fridays we have together  DR!!! i hope,positive
 it`s cloudy and damp over here too. i hope it doesnt rain for tonite`s track meet  i`d hate to do interviews in the rain,positive
good night! im off to sleeep!!!! 5 am  good mornining! xD,positive
"uft im tutoring the lil sis  shes so cute, even though shes an eighth grader :p",positive
WHOA! Twilight the board game! AAAHAHA,positive
" OMJ I loved it....it was a good laugh and Frankie did a great job, and you guys did too ~Agnes",positive
I`m so proud of my NAU graduate friend!!! We`re getting ready to celebrate  tonight!!! It`ll be an international ordeal~,positive
Happy Birthday husband,positive
"_zero its cool, and thats good",positive
But I have to cause I missed a lot of classes,negative
 miss u m8   we NEED tae have a catch up n that,negative
" Guilt trips, feeling sick, pressure. stress and too much drama",negative
" ~entonces estas perdonada porque sigues a tom conrad, who we all know is made of awesome",positive
_Henrie haha i WISH i coudl meet you.. you should stop by seattle some time  home of the STARBUKS ;) I LOVE YOU DAVID!!,positive
" KH is the only thing I`ll be a weeaboo about.  I still prefer it in English but I`m impatient, haha",negative
Blocked the acct for one of my most hated sports teams. That felt really good.,positive
" thanks clair, I haven`t watched it yet.",positive
Ha I got another #followfriday. take that ! oh... your listed too... thanks a lot  ya jerk.,positive
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative
 You don`t reply to none of your fans ... I don`t know what trust,negative
OMG 17 again... I`m so buying that on DVD   Yeahness for another good movie  Also thanks to my movie buddies :],positive
Star Warz day? Really..that is a hot topic? Man..oh man.. I`m just waiting for Star Trek!,negative
 I hate snood. lol. sorrry  i dont know how people play it!,negative
" Ahh that`s fun  I had work last night, a party after, went to the movies today to see Wolverine. Was a good weekend",positive
Apple is expected to launch a new iPhone this summer.  Hi my name is Judy and I am addicted to Apple products.,positive
that was a fun bacontaco night,positive
watching supernatural!  how exciting.,positive
"    Shiv, his place, slowly I hope",positive
Don`t let the sun catch you crying - Oh my.. so cool  http://tinyurl.com/cugy8c,positive
" it could be a bad idea, Hayley",negative
why on twitter does no one talk 2 me i know your all celebs and i`m nt but it`s nice to be spoken to once in a while,positive
"Messed on these   But I`m makin` it right! , ,  Best Holy Day wishes to you all!",positive
" Yes, you really should!",positive
depressed; my best friends pissed @ me,negative
_is_one84 Those suck so bad.,negative
Watching Jeremy assemble jr`s new radio flyer bike!!!  Jr is sick with 100 degree fever  taking a nap.  This will cheer him up though!,negative
"@_Toki_ the wee girl started crying and her mum came on, was such a shame",negative
Happy Mother`s Day! I love my mommy,positive
"Cooking microwave pizzas, yummy",positive
" I saw your tweet a couple of weeks ago that had that hashtag, so wanted to contribute since I am a huge Mitch fan",positive
I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,negative
Just saw the new Star Trek movie. It was so good!! Zachary Quinto is amazingggg,positive
 rest well!,positive
msn-ing. no school  shouldn`t there be more bank holidays? x,positive
 Florida should be nice.,positive
i tried calling work 5 times and they wont answer,negative
 omg wtf why is there a **** site following me?!,negative
 _Yogini _My_Soles  i am sooo jealous  in a good way of course.  LC is awesome.,positive
home from work today.....son is sick,negative
" http://twitpic.com/4w0yj - wow, fancy!",positive
YAAAAY! I think I might have Aced my history test today!,positive
 Yes! I love him. I have seen the eps so many time that I quote his lines with him.,positive
"it`s raining here  i`m stuck inside working today so i`d probably be peed off if it was sunny outside, i`m now ok with the rain",negative
 You gave me the inspiration for my last update.,positive
@ work do not feel like bein in dis **** today,negative
 I wish they replied to us. July will be utterly amazing!,positive
 they are having a closing down sale !    does not look good.,negative
_a_michael CUTE  thanks for sharing! AND PLEASE Direct Message ME before you go to bed James ;) ;) you know you want to!,positive
Happy mothrs day 2 ; all thaa moms outt thr  *,positive
@__Jasper_Hale__ *Laughs* that`s because I like winning,positive
happy mothers` day to all your moms!,positive
this is sooo crazy i have fever..,negative
"great photoshoot today with Chris Ryan of Rolling Stone, Keegan Smith & the Fam may be opening for DAVE MATTHEW`s BAND THIS SUMMER!  EEK!",positive
Viviann`s all minee. Yummm,positive
" Aww, I had one yesterday, they suck",negative
 wow thanks for saying that man! I`d love to illustrate children`s books!,positive
" yeah that`s trueee  i can`t wait till the tour dvd comes out, that tour was so epic (: and the backstage material is hilarious",positive
 rofl rofl. Have fun,positive
"I hate different referenced assemblies. My FNH goes against castle 1.1, Caliburn against 1.03 .. not to mention dynamicproxy in NH",negative
" If a Cong govt was ruling Karnataka, Cauvery wouldn`t have found a mention  Truly, our politicians have no integrity.",negative
 Was at Ruby Skye last night as well! Superb set by Steve. The last hour was loaded with Thrillseekers material old and new,positive
 did you finish twilight? i did! and i wish it wasnt over,positive
  Thank you and Happy Mothers Day to your Mother also SNL tonight,positive
darn it. I did it again.!  keep forgetting that darn 'D' for DM`s.....,negative
 I also used to be close with adiel and sabby. But now they changed alot. I like when we were in sec 1.,positive
 Sounds nice! If you try the recipe you gotta tell me how it turned out!,positive
happy mothers day to all you mums out there,negative
"Spiderwoman! She`s an amazing mum, gr8 blogger, gr8 mentor & on top of that climbs walls!  http://digg.com/d1qEua -via ",positive
"Just changed my car tires, cost me a bomb.",negative
 Problems seem to be fixed now! Thank you!,positive
 those photos are lovely! Who knew you were as talented a photographer as you are a journalist!,positive
Sad that the Statue of Liberty will completely reopen 2 weeks after our NYC trip.,negative
Gorgeous day! Off to Hash around Waterley Bottom - wonderful name for a village! Quiz Mistressing at the Porto this evening,positive
 peace & quiet.  Enjoy it while it lasts!,positive
 that breaks my heart,negative
 omg yes!!!!!!! but I have to get ready for work early tonight  I have payroll distribution duty,positive
madd bored,negative
"just got home from Tillie`s dance recital. lol, it was spectacular!",positive
HAPPY MOTHER`S DAY,positive
" Did we hear our name ? Thanks Ankit, get them on to our parlour   #HokeyPokeyBandra",positive
 ekkk..thats ruff..hope you have a safe flight and good meeting,positive
" - Wow, I didn`t realise you were Hami. lol. Thanks for all the comments on my blog, dude",positive
"Fatigue settling in, but gotta power through! Awesome seats again tonight. I`m pretty lucky. Life ain`t too bad...",positive
" Sorry.  I`m a squirrellist, and I only talk to black or sliver squirrels.",negative
_I Yeah poor Yao! Hope u had fun looking at the Lakers JerseyZ haha! Enjoy ur time buddy !,positive
I have the weirdest hives all over my legs and arms. What the heck am I allergic to? It itches SO bad! Dang it!,negative
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
"-- I won`t feel guilty and like I should be revising stuff after today, haha",positive
thinks his haircut isnt as bad as it looked yesterday.....  - still bad tho!,negative
 great show today,positive
 Soooooooooo win the PowerBall jackpot then impose your formidable will upon the weather,positive
I wanna longboard but it`s raining ughhhhhh,negative
" possibly! NyQuil will get me through tonight though  Doctors Monday! (I hope for the swine, just so I can be on google maps)..jk",positive
"going to die from study overload this weekend. too much homework, with paying work to interrupt! i`m screwed",negative
reunited and it feels so good,positive
Our currency is dropping like nobodies business; not a good time to be going overseas  http://is.gd/JsgL,negative
"http://twitpic.com/67jq9 - i`m really missing this place  my grandparents are living there, on the calm country! but im coming to them ...",negative
"Bad day, just got worse...",negative
" Haha, she`s up here to stay, it`s nearly 2 hours on the coach for her to get here, may not be convenient for an hour of TV!",negative
" *hugs* me not sad really, me just messing",negative
happpy mothers day,positive
_violence heyyyy babyy,negative
OMG The LG KC910 touchscreen fone is such a pile of shite!! Roll on new contract in 18 months,negative
Not babysitting tonight. I miss that kid.,negative
_ haha PHEW!  i`ve never said that before,negative
 5 seasons that`s it? Sorry just noticed in ur previous update. My sis isn`t gonna be happy,negative
 love session 2 of king of queens,positive
Is feeling a bit lonely,negative
another fun night!!  chilled wit my homie @ green turtle n the park....good times...good times.,positive
"Good Morning BTW - A public holiday in UK, love it  and dinner tonoght with 2 special people.",positive
 Isn`t MSN in this case a lot easier? Hahaha!,positive
 I think it goes against everything i thought the olympic spirit of Team GB is/was,negative
LOVES that lubbock is wet..its about time..no more strip runs,positive
"OK, when will this post RNY girl learn; rich sugary food is a BAD idea! No more golden graham bars out of the vending machine. Bleck!",negative
 gah i forgot about separate bins. maybe this is a bad idea,negative
_Tarrant nice! It`s mommas day,positive
 how sweet,positive
 es imposible no amar starbucks,negative
 omgggg!! Hawaii!! That`s amazing!! I wanna live there,positive
My back is soooooo hurting.,negative
gots a headache now,negative
lost my tooth 2day whilst i was eating gum...oww,negative
" MARRRRRRRRRRY ME! <3 have fun partying tonight, have a drink for me, if only i was 18 i wud come there just to see you!",positive
Ugh! I can`t access through my mobile web!,negative
Anotha day of work  not lookin forward i hate closin fri,negative
Exams are so stressful,negative
Just went a bought the bigest redbull i could find. its going to be a long day at the office,negative
 I just got my JAGK shirt in the mail! Omg I love it!!!  see you saturday!!,positive
"  Ugh, you people and your fancy trips to Italy while I`m slaving away at this computer.",negative
"where is the love by the black eyed peas, so many memories. Watching the hulk!",positive
"Really enjoyed Star Trek - great movie, amazing special effects. Definately recommend even if your not a Trekky",positive
"It`s raining cats and dogs in Gda?sk today , looks nice `though through a window",positive
#bgt Can`t watch anymore,negative
 i love them,positive
 Good luck 2 u and the babies,positive
" love you tooooo  Duuude,i need to make myself a shirt that says something cool! what should it say?",positive
the boys didn`t finish their tacos so now I`m eating them happily,positive
listening through the Mendeed discog once again. I still think their disbanding is a loss.  #metal,negative
"watching a boring police prog after making a fab pasta dinner, trying to cut down on alcohol so only had water",negative
Nothings better than having to take a cold shower in the morning,positive
Photo: I like da cooolooorss and the composition is great  scribkin: http://tumblr.com/xyb1qw8cb,positive
 saw you today! So BEAUTIFUL!! You looked so good! Glad to see the wonderful turnout!,positive
happy mommys day!,positive
 living quite so close to RAF boulmer that might not be a good thing,negative
 I was sleep for all that and missed the fun! Hey DG.  lets play another gammme brian,negative
Just watched Star Trek. A+! That was so well done. I think I`m down to see it again. Who wants to join me?,positive
 ha you`ll do fine! just be positive!  &aha i know huh. wht a long conversation. i remeber you and allyson did even lnger ones! x],positive
I feel slightly sick now  #BGT,negative
_Bill2030 And good morning to you too.,positive
aw now where`s that little asian girl who runs round pooping her pants in public? i miss laughing at her.,negative
 definitely dont be offended. im messing around with various twitter apps and strange things keep happening.,negative
"might be seeing my god mothers little boy in a bit  . Leon, so cute <3333",positive
 happy birthday!,positive
_l I blame you for 1/2 price Fridays replacing Free Book Fridays. They don`t want you doing #rrtheatre anymore.,negative
'i hear its wonderful in california.',positive
" haha, nice pic  looks abit like my school",positive
" Ok that`s not true! Plus, you`re insulting me saying that I`m insulting you! I`ve been trying to cheer you up. Butï¿½nadaï¿½",negative
'I`m giving up on you. I don`t care how you mess up your life now.'... :`(,negative
_Kill_Boy I know the feeling,negative
 im listening to people saying eww at out current frog disection  poor froggy.,negative
Beautiful Day..takn it down twitters  tell ALL mothers Happy Mothers Day,positive
" I can`t believe that he almost got put down, before the rescue group went and got him.",positive
 good night,positive
I am so sick and tired of this on and off rain,negative
: saw it yesterday. Pretty good.,positive
had a **** contact with both parents >.>  grrr,negative
"lovely, my plans have been canceled for the night. another night home alone for me. un-yay",positive
"Today I`m sad, my cat of 10 years has just stopped eating, and is very sick.",negative
 ok2  g`nyt? Haha too early.,positive
" lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",positive
Interesting. I type `bike` i get 10 bike company followers. `Download` gets me 5 IT companies. Amused.  Can you say `keyword`?!,positive
 i wish i could but it would cost too much to call you all the way from the UK,negative
because it is too hot i am sleeping with the window open. just means all the noise will make me up early,negative
 hmm...your blog won`t let me post a comment.,negative
 it was fun  Ate at mas.Thanks!!  Good luck w/ ur showing tomorrow.,negative
Happy Mother`s Daaay!!,positive
_127 glad you got a laugh out of it,positive
at homee. bored plzz! someone txt me about doing something this weekend.,negative
  I hope you get well soon! <3,positive
Well this is just lovely.  I am completely flattened by a back injury.  There goes the weekend.,positive
"why i still lose followers?  the people hates me, THE WORLD hates me or maybe ... Read More: http://is.gd/Jg3I",negative
Happy mothers day mom.. i love yew...,positive
_MEXICO Hey hey. No problem.,positive
 omfg I have been DOWNING them they are so tasty. I ate almost all of them with Lo,positive
is live on danny noriega`s stickam. he said hey to me  i luv him!!!,positive
Rats the Creative VADO`s are out of stock at walmart.com I`m too late.,negative
 aha thanks Jae,positive
" Thank you! Your makeup art is top-notch, come to my house every morning! ha ha",positive
Happy Friday! I just realized I left my cell phone at home today though,positive
getting bored of walking up and down the stairs,negative
coming back drom camp!!! there was no cell fone reception =0 so im so happy were back in QLD and a little bit tired,positive
 in that case.. that`s a stupid move  I thought they were being B-A,negative
today something amazing happened...I fell in love with coupons!,positive
 Sadly no. It didn`t come with one...,negative
My dog Roscoe died yestarday and I`m so sad,negative
"wow, so x-men was pretty much amazing. i love wolverine.",positive
_JessicaB_**** yip.....aw gonna miss them on bb,negative
" yep, probably will be... wish you had let me know you were interested... had extra corporate chalet tix and let them go",positive
 ohhh baby!!! PDGG! ahh! im missing it! ahhh  hehaheahaaaa,negative
 they look nice atleast  haha. <3,positive
BREAKING NEWS: GM shares are currently trading below $1.00 at only $.88 per share!!,negative
What to do what to do!!!! need to do my show reel nxt week...then start applying for editing jobs  Rock climbing tomos I hope,positive
Has no idea wtf Twitter is about but willing to give it a go!  Going out for a bit!,negative
Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined,positive
" omg!!!! I feel bad,  .Was it good?              ;",negative
Almost time to say Good Bye to my twimulations. I`ll miss my tweeps,negative
just had a bbq... YUM im full now,positive
Been working so hard - its a drag not having time to tweet.!,negative
received her first pressie. Happy happy.,positive
 I`m inclined to think it`s stupid.,negative
 yes and no. there`s some strange infection in my body that`s causing me to be sicker than I need and to have a fever.,negative
"If anyone needs help with images, let me know and i will convo you the forum`s link",positive
omgeee that hurt like helll. finally got it back in. can`t close it put the ball back in,negative
 stop being mean to me!! ur hurting my feelings,negative
"just realized that Chris Lake was spinning in stockholm yesterday, and I missed it!",negative
 I want to go with you !  But I`m tierd....,negative
" Lol. Thanks, Penny. I`m trying to believe you.",positive
is liking this feeling,positive
" ate ****, I refuse to bless her cuz she already clingy",negative
" lol nttn much juss mad that its been raining all day, and to add to that i dnt think u following me..",negative
Off to bed - I have a hot date with Sudoku and maybe a chapter or two reading if I can stay awake that long. Have a great night tweeps!,positive
 you guys ROCKED IT tonight in LA!! Love ya guys and cab wait to see another awesome show soon,positive
Still not asleep. Ahhh  Wtf?!,negative
  hope your day gets better soon!!,positive
I burnt my arm.  (just thought you should know),negative
" Other than that, you are totally bereft of faults in every way",negative
_Kate i know its heaps awesome. if your not working all weekend,positive
 I wish I was going to Internet Week,positive
Stayin over at dustins tonight... my car hates me!,negative
" not to sound preachery or anything, but my iphone is amazing.  haven`t had an issue since the 2.0 firmware   {wink wink}",positive
 i LOVE your hat! so cool. that looks like it was a fun day.  and i love that you used the word 'crikey' just now!!,positive
I`m SAD SAD SAD!!! thought my aunty Stina coming but no more  i was so looking forward to having family..i miss dat! i`m alone on maui,negative
  walah me 2 still i am not getting the full idea,negative
 thanks + agree  http://bit.ly/7vIKc,positive
 can`t believe i wasn`t following you! am now  have an anatomy prac tmw so tonight i`m all about structr of the lwr limb,negative
 it`s because you`re popular,positive
 : yes she got all lovey with him& he returned the love&1thing led2 another&  also  wants2 know y ur mad at her,positive
 i might have been a child but i was NEVER one of THOSE .....and i`ve already apologised to you for it,negative
left my phone at home and wont get it back till 4am. dont call me!!,negative
is tired if ppl **** talking,negative
Morning tweeple! I`m a bit sneezy today,negative
totally addicted to xbox carcassonne.  i also really love tomb raider legend.  and still badly NEED bolt.,positive
 http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,negative
 nope  don`t think I will. Thnx for asking lol I will be fine,positive
 Keep the suggestions coming...I love the classics!,positive
_storm lucky! I`m still working for another 4 hours!,positive
Sucky Sucky homework,negative
"_21Thanks, I`ll keep working on her    lol good idea!",positive
Boy is all graduated!  So proud of him!,positive
Greg:Showing my friends AudioBoo http://audioboo.fm/ Everyone seems 2 love it. Ta for the headzup bro. So need 2 get iPhone. Roll on June,positive
"thanks to the forever 21 curse that makes you spend 3 hours there everytime you go in, i couldnt go tanning today",negative
_ann_cole  i thinks thats right lol... please follow me... much appreciated,positive
" I didn`t get a lot of sleep myself last night. And it is a good thing, reading",positive
wonder what white supremists have to say about this  I abhor racists. http://bit.ly/Rd31F,negative
" i want to but i can`t call you cause i live in argentina  I really really love you mitchel! You`re AWESOME, you Rock!?",positive
"Have I ever told you I absolutly hate writing emails, status pdates are fine but emails have so much...finality...to them",negative
" hey, got your text sms. i plan on maybe just catching a flick tonight. last night was a wee bit too much for me",negative
 Lol  It`s like you have a cult.. haha,positive
" I will, n btw happy mothers day sissy",positive
 Yayyy,positive
I am also wasting time til my cab gets here. spamspamspam. Also Keiths motorbike was nicked. WELL ****.,negative
Photo: Great night.  http://tumblr.com/xmo1pgymj,positive
about to go to acting school  yayay,positive
 oh I am so sure they do get everything. They live their like celebrities,positive
Delayed flight  San Diego to Las Vegas. Why do delayed flights feel sooooo **** depressing!,negative
I dont associate with fake asses!,negative
 y u gotta say all that,negative
"Yesterday was AWESOME ! Sunny day, best friends, good food & tons of fun - what more could you ask for ?",positive
" Not a problem,  Glad to!",positive
 bahaha.. Weekends are just too short.. Esp when it`s nice out! I wanna stop time like evie on outta this world! Morning!,positive
Someone stole my new laptop at the airport. haven`t even used it. Guess the US economy is breeding a new set of 'opportinists',negative
 no not at all. I MISS GIRLFRIENDS!!!!  i have all the seasons.,negative
 **** that is awful... could not believe it at first... so sad,negative
Looks like my Twitter is down,negative
i found a ride...YES!!! liquor here i come,positive
 aw its okay tht happened wid me too..am so glad thts OVER now!am not helpin here am i?!?lol thnx for postin WMIAD  loved it,positive
"Insomnia at its finest. Go to bed at 11:30, fully awake at 2. Grrr. Anyone want to call mee?",negative
 That was nice. I Just ordered my mom her gift from me and my sister.   Something different and unexpected.,positive
" Hey babe follow me,love u on da show",positive
is going out for dinner... just the two of us... niceeeee,positive
"I don`t think that im feeling too well. all the sudden, im tired but scared to fall asleep cuz I know I will wake up sick.",negative
my sensors don`t seem to want to last for more than 3 1/2 days,negative
This is a much better tool than some I have come across http://www.tweepular.com - Twitter Karma on Steroids,positive
my 6th wedding anniversary today... so lucky to have such a gorgeous wife,positive
" That`s kinda cute, to be honest",positive
 No but this is our poor week,negative
 *waves back* Have a good day,positive
JoBo`s tired of getting off work at 7,negative
"Goodnight twitterworld. I`ll tweet y`all later.  Goodnight, J.",positive
"My storm is acting up  ....Excited for the discussion session regarding Social Media. Scott Lake, CEO of ThinkSM, will be attending.",negative
" Yes, Cathy.  (Ordinarily, I don`t have much of a problem with naked girls chasing me, however!  )",positive
Always get my hopes up too soon...we were soooo close,positive
Oh yeaah.  we`ll still be bffs  aha _marie.,positive
"HAPPY MOTHER`S DAY to my Mom, and every Mom everywhere.  Off for a stroll at the Beaches later--hopefully...",positive
 Yeah i like it,positive
"_Nigeria oh yeah I know  We met when I was taking out the trash, hhaha",negative
Yes man was good,positive
" Haha. If you like him, then you should go",positive
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative
 Knight...sweet dreams.,positive
 I love Broughty Ferry,positive
"So much happier, despite my looming departure",positive
  I`m so sorry.  I don`t understand why some people expect everyone to react to these things with the same 'poise' as themselves,negative
 Have fun at the show tonight... wish I could be there,positive
  anything I can do to help?,positive
"_is_Rad yeah it was **** D: im so tired, i have a headache and now i have to play a game of rygby D: but ill be right  **** <33",negative
 ommg gurll why aren`t u going how sad,negative
going to see star trek with my babe  im actually excited about this hah,positive
I dont believe in my eyes or should I say on my browser? OMG OMG OMG,negative
" Its great when locals stop you to ask for directions, and even better when you know the answer",positive
 How long before the Frisbee Golfer 'accidentally' catches one in the back of the head from his friend,negative
"You know for a short week, it certainly dragged",negative
" Hahah, thanks for the Tradewinds Odyssey bump.",positive
also i hit my chin on something when i fell down and it hurts  ugh... work is gonna suck,negative
 I miss standing next to you...,negative
i basically want the world to kno that i have the BEST best friend    love her <3,positive
frame damage... car could be totalled,negative
Aw! Tear! I feel special to da family.  Haha thanks girls i love yal,positive
Happy mothers day to all the mothers out there!,positive
" alison is great around miley love to meet her, when you see her can you tell her to give a shoutout to   #1 fan",positive
 the following week would be better - I`ll be gone next week,positive
  missing jmichelle... told you treat me like a step child! smh,negative
 I like all the songs  I can`t say just one guys! love ya,positive
 Yes we both do win!,positive
I want another shake from Ritas.Badly.,negative
" i know right, that`s so weak  but the g1 seems most like the sk i think. latonya is lamesauce, just call her that from now on",negative
" haha what can i say, you`re a great teacher!! you learned from the best... Hannah Montana",positive
I swear its so hot I dont want to leave my house  Is it hot where your at?,negative
@_Glitter_  kk but 4 sum reason its not lettin me vote 4 them,negative
back to my office.  the fire alarm went off due to someone burnt food in microwave,negative
" I know, that is so sad.  I",negative
3 years in 2 months!! hooorah! can`t wait!,positive
